Rank,College,City,State,Approval,Exam,Cutoff,First_Year_Fees,Average Package,Highest Package,Rating,Best In,National Rank
58,"Siksha 'O' Anusandhan University - SOA, Bhubaneswar",Bhubaneswar,Odisha,[AICTE MCI ICAR UGC NBA],-1,-1,315000,500000,4600000,4.3,Academics,163
59,"JSS Science and Technology University - JSSSTU, Mysore",Mysore,Karnataka,[AICTE NBA],-1,-1,266477,-1,5600000,4.2,Placements,164
60,"Manipal University - MUJ, Jaipur",Jaipur,Rajasthan,[AICTE COA BCI UGC NBA],-1,-1,350000,950000,1500000,4.1,Infrastructure,165
61,"International Institute of Information Technology - IIIT, Pune",Pune,Maharashtra,[AICTE],-1,-1,110500,-1,950000,3.8,Infrastructure,166
62,"Thadomal Shahani Engineering College - TSEC, Mumbai",Mumbai,Maharashtra,[AICTE],-1,-1,205375,-1,2413000,3.7,Social Life,167
63,"SRM University, Amaravati",Amaravati,Andhra Pradesh,[UGC],-1,-1,250000,909000,4500000,4.2,Faculty,169
64,"Chitkara University - CU, Patiala",Patiala,Punjab,[NCTE COA PCI INC BCI],-1,-1,240000,1080000,4400000,4,Infrastructure,170
65,"Madras Institute of Technology - MIT, Chennai",Chennai,Tamil Nadu,[AICTE NBA],-1,-1,47700,693000,3650000,4.1,Academics,171
66,"DIT University - DIT, Dehradun",Dehradun,Uttarakhand,[COA PCI UGC AIU],-1,-1,227500,-1,5800000,3.9,Infrastructure,172
67,"OP Jindal University - OPJU, Raigarh",Raigarh,Chhattisgarh,[AICTE UGC],-1,-1,152000,498000,3300000,3.8,Faculty,174
68,"Centurion University of Technology and Management - CUTM, Bhubaneswar",Bhubaneswar,Odisha,[AICTE ICAR UGC],-1,-1,180000,-1,1360000,3.8,Faculty,175
69,"Vivekanand Education Society Institute of Technology - VESIT, Mumbai",Mumbai,Maharashtra,[AICTE NBA],-1,-1,143443,-1,1450000,4,Academics,176
70,"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",Visakhapatnam,Andhra Pradesh,[AICTE],-1,-1,105000,-1,5000000,3.9,Placements,177
71,"Kalasalingam Academy of Research and Education, Krishnankovil",Krishnankovil,Tamil Nadu,[UGC NBA],-1,-1,122000,-1,-1,3.5,Infrastructure,181
72,"Bhagwan Parshuram Institute of Technology - BPIT, New Delhi",New Delhi,Delhi NCR,[AICTE NBA MHRD],-1,-1,199500,-1,-1,3.8,Academics,182
73,"VNR VJIET, Hyderabad",Hyderabad,Telangana,[AICTE UGC NBA],-1,-1,138000,-1,-1,4.2,Infrastructure,184
74,"MIT World Peace University - MIT-WPU, Pune",Pune,Maharashtra,[PCI BCI UGC],-1,-1,330000,-1,-1,3.9,Infrastructure,185
75,"Sri Manakula Vinayagar Engineering College - SVMEC, Pondicherry",Pondicherry,Puducherry,[AICTE NBA],-1,-1,42500,-1,-1,3.9,Placements,190
76,"Shri Shankaracharya Group of Institutions - SSGI, Bhilai",Bhilai,Chhattisgarh,[AICTE NBA],-1,-1,77100,-1,-1,3.7,Social Life,191
77,"University College of Engineering and Technology, Vinoba Bhave University - UCET, Hazaribagh",Hazaribagh,Jharkhand,[AICTE UGC],-1,-1,65100,-1,-1,3.5,Academics,192
78,"Bangalore Institute of Technology - BIT, Bangalore",Bangalore,Karnataka,[AICTE NBA],-1,-1,281477,-1,-1,3.8,Faculty,194
79,"Dronacharya College of Engineering - DCE, Gurgaon",Gurgaon,Haryana,[AICTE NBA],-1,-1,140100,-1,-1,4.3,Faculty,196
80,"SSIPMT, Raipur",Raipur,Chhattisgarh,[AICTE NBA],-1,-1,83650,-1,-1,4.5,Faculty,199
